course_title;url;price;num_subscribers;num_reviews;num_lectures;level;Rating;content_duration;published_timestamp;subject
Mortgage Acceleration;https://www.udemy.com/mortgage-acceleration/;20;247;2;17;Intermediate Level;9;15;21/8/15 13:36;Business Finance
Mortgage Acceleration;https://www.udemy.com/mortgage-acceleration/;20;247;2;17;Intermediate Level;9;15;21/8/15 13:36;Business Finance
Mortgage Backed Securities;https://www.udemy.com/mortgage-backed-securities/;50;376;29;21;Beginner Level;71;35;13/3/14 7:47;Business Finance
Mortgage Backed Securities;https://www.udemy.com/mortgage-backed-securities/;50;376;29;21;Beginner Level;71;35;13/3/14 7:47;Business Finance
Most Wanted Flat Design Techniques;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-illustrator/;195;2081;35;61;All Levels;98;45;17/3/16 13:21;Graphic Design
Most Wanted Flat Design Techniques;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-illustrator/;195;2081;35;61;All Levels;98;45;17/3/16 13:21;Graphic Design
Most Wanted Flat Design Techniques #1: Desert Island;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-desert-island/;0;4294;143;15;All Levels;96;1;17/3/16 13:15;Graphic Design
Most Wanted Flat Design Techniques #1: Desert Island;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-desert-island/;0;4294;143;15;All Levels;96;1;17/3/16 13:15;Graphic Design
Most Wanted Flat Design Techniques #2: Hipster Businessman;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-hipster-businessman/;95;1016;5;25;All Levels;76;15;17/3/16 11:47;Graphic Design
Most Wanted Flat Design Techniques #2: Hipster Businessman;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-hipster-businessman/;95;1016;5;25;All Levels;76;15;17/3/16 11:47;Graphic Design
Most Wanted Flat Design Techniques #3: Office Space;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-office-space/;95;1028;2;26;All Levels;81;2;17/3/16 13:49;Graphic Design
Most Wanted Flat Design Techniques #3: Office Space;https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-office-space/;95;1028;2;26;All Levels;81;2;17/3/16 13:49;Graphic Design
Motion Graphic With After Effect From Scratch in 5 Hours;https://www.udemy.com/motion-graphic-with-ae/;30;50;7;45;All Levels;76;4;1/6/16 12:40;Graphic Design
Motion Graphic With After Effect From Scratch in 5 Hours;https://www.udemy.com/motion-graphic-with-ae/;30;50;7;45;All Levels;76;4;1/6/16 12:40;Graphic Design
MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4;https://www.udemy.com/mql4-bootcamp-tutorial-trading-robot-coding-in-metatrader4/;20;313;14;25;All Levels;16;1;5/7/15 12:54;Business Finance
MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4;https://www.udemy.com/mql4-bootcamp-tutorial-trading-robot-coding-in-metatrader4/;20;313;14;25;All Levels;16;1;5/7/15 12:54;Business Finance
MQL4 Programming for Traders: Build Robust Trading Robots!;https://www.udemy.com/algorithmic-trading-bootcamp-metatrader4/;195;1367;33;74;All Levels;76;7;21/2/16 19:31;Business Finance
MQL4 Programming for Traders: Build Robust Trading Robots!;https://www.udemy.com/algorithmic-trading-bootcamp-metatrader4/;195;1367;33;74;All Levels;76;7;21/2/16 19:31;Business Finance
MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4;https://www.udemy.com/mql4-tutorial-bootcamp-trading-robot-coding-in-metatrader4/;30;1278;33;23;All Levels;98;716666667;2/7/15 16:57;Business Finance
MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4;https://www.udemy.com/mql4-tutorial-bootcamp-trading-robot-coding-in-metatrader4/;30;1278;33;23;All Levels;98;716666667;2/7/15 16:57;Business Finance
MQL4 Tutorial Golden Goose;https://www.udemy.com/mql4-tutorial-golden-goose-trading-tutorial/;20;135;5;12;All Levels;59;15;7/6/15 14:32;Business Finance
